order_id,customer_id,product_id,order_date,quantity,unit_price,discount,subtotal,shipping_cost,total_amount,order_status,delivery_days,channel
ORD000001,CUST00629,PROD0072,2024-03-08,2,20.06,0.15,34.1,1.98,36.08,Completed,12.0,Website
ORD000002,CUST01532,PROD0017,2023-05-10,4,195.72,0.0,782.88,0.0,782.88,Completed,10.0,Website
ORD000003,CUST00402,PROD0003,2023-10-07,2,68.44,0.15,116.35,0.0,116.35,Completed,11.0,Website
ORD000004,CUST00262,PROD0054,2023-08-18,1,62.88,0.0,62.88,0.0,62.88,Returned,,Website
ORD000005,CUST01426,PROD0057,2023-02-04,2,13.83,0.0,27.66,10.75,38.41,Cancelled,,Mobile App
ORD000006,CUST01742,PROD0027,2023-01-15,2,9.19,0.0,18.38,10.77,29.15,Processing,,Website
ORD000007,CUST00319,PROD0034,2024-03-15,5,15.4,0.0,77.0,0.0,77.0,Completed,7.0,Website
ORD000008,CUST01522,PROD0065,2024-02-15,4,5.52,0.0,22.08,0.04,22.12,Completed,14.0,Website
ORD000009,CUST01042,PROD0060,2024-02-01,4,28.39,0.05,107.88,0.0,107.88,Completed,8.0,Phone
ORD000010,CUST00203,PROD0138,2023-09-06,2,36.0,0.0,72.0,0.0,72.0,Completed,13.0,Mobile App
ORD000011,CUST01567,PROD0023,2022-10-04,4,17.3,0.15,58.82,0.0,58.82,Completed,14.0,Website
ORD000012,CUST01521,PROD0121,2022-08-01,3,40.87,0.05,116.48,0.0,116.48,Completed,14.0,Website
ORD000013,CUST01763,PROD0150,2023-08-15,5,20.5,0.0,102.5,0.0,102.5,Completed,2.0,Website
ORD000014,CUST00060,PROD0064,2023-11-25,5,10.0,0.2,40.0,4.14,44.14,Returned,,Mobile App
ORD000015,CUST00803,PROD0039,2022-09-15,5,15.76,0.0,78.8,0.0,78.8,Processing,,Website
ORD000016,CUST00416,PROD0108,2024-02-13,4,46.22,0.0,184.88,0.0,184.88,Completed,9.0,Website
ORD000017,CUST01719,PROD0095,2023-11-22,4,28.05,0.2,89.76,0.0,89.76,Completed,7.0,Website
ORD000018,CUST01543,PROD0099,2024-02-27,2,68.63,0.15,116.67,0.0,116.67,Completed,7.0,Website
ORD000019,CUST00173,PROD0132,2024-02-18,4,81.92,0.0,327.68,0.0,327.68,Completed,6.0,In-Store
ORD000020,CUST01435,PROD0066,2023-10-11,3,44.66,0.15,113.88,0.0,113.88,Completed,1.0,Website
ORD000021,CUST00498,PROD0051,2023-12-23,3,27.28,0.1,73.66,0.0,73.66,Completed,13.0,Website
ORD000022,CUST00121,PROD0107,2023-11-25,3,143.61,0.0,430.83,0.0,430.83,Completed,5.0,Mobile App
ORD000023,CUST00772,PROD0117,2023-09-05,2,76.15,0.0,152.3,0.0,152.3,Completed,14.0,In-Store
ORD000024,CUST00148,PROD0031,2023-12-08,1,14.7,0.0,14.7,14.53,29.23,Completed,5.0,Mobile App
ORD000025,CUST00730,PROD0036,2023-08-03,3,66.17,0.15,168.73,0.0,168.73,Completed,9.0,Website
ORD000026,CUST00546,PROD0039,2023-07-31,1,15.76,0.15,13.4,7.72,21.12,Completed,9.0,Website
ORD000027,CUST01956,PROD0137,2022-07-31,4,31.24,0.1,112.46,0.0,112.46,Completed,11.0,Website
ORD000028,CUST01516,PROD0105,2023-09-23,2,37.01,0.15,62.92,0.0,62.92,Completed,4.0,Mobile App
ORD000029,CUST01859,PROD0022,2024-02-17,5,21.5,0.1,96.75,0.0,96.75,Completed,11.0,Website
ORD000030,CUST01862,PROD0144,2023-10-30,3,15.15,0.2,36.36,3.59,39.95,Completed,3.0,Mobile App
ORD000031,CUST01972,PROD0118,2023-05-02,2,38.54,0.0,77.08,0.0,77.08,Cancelled,,In-Store
ORD000032,CUST00747,PROD0061,2023-10-29,2,35.83,0.0,71.66,0.0,71.66,Completed,5.0,Website
ORD000033,CUST01945,PROD0062,2023-02-14,1,32.64,0.0,32.64,10.6,43.24,Completed,6.0,Mobile App
ORD000034,CUST01084,PROD0104,2024-03-14,1,101.35,0.0,101.35,0.0,101.35,Completed,12.0,Mobile App
ORD000035,CUST01153,PROD0100,2024-02-11,5,40.76,0.15,173.23,0.0,173.23,Completed,5.0,Mobile App
ORD000036,CUST01631,PROD0103,2023-05-06,5,35.99,0.15,152.96,0.0,152.96,Completed,12.0,Mobile App
ORD000037,CUST00550,PROD0086,2024-03-12,2,45.44,0.0,90.88,0.0,90.88,Completed,4.0,Mobile App
