review_id,order_id,customer_id,product_id,rating,review_text,review_date,helpful_votes
REV006735,ORD006736,CUST01886,PROD0131,5,Excellent product!,2022-07-07,82
REV003283,ORD003284,CUST01101,PROD0035,3,"Average, could be better.",2023-12-14,88
REV006178,ORD006179,CUST00064,PROD0126,5,Excellent product!,2024-03-07,33
REV000043,ORD000044,CUST00065,PROD0062,3,"Average, could be better.",2024-03-10,45
REV006471,ORD006472,CUST00943,PROD0036,5,Excellent product!,2023-09-28,89
REV000124,ORD000125,CUST00626,PROD0032,2,Disappointed with quality.,2024-03-07,51
REV004445,ORD004446,CUST00014,PROD0102,3,"Average, could be better.",2022-11-23,107
REV001120,ORD001121,CUST01260,PROD0091,5,Excellent product!,2023-03-23,150
REV007911,ORD007912,CUST01665,PROD0138,3,"Average, could be better.",2024-03-13,79
REV001272,ORD001273,CUST01176,PROD0094,3,"Average, could be better.",2023-08-08,36
REV002651,ORD002652,CUST00539,PROD0084,4,"Very good, happy with purchase.",2024-03-13,140
REV005345,ORD005346,CUST00192,PROD0022,5,Excellent product!,2023-10-20,66
REV000166,ORD000167,CUST00209,PROD0127,3,"Average, could be better.",2023-12-04,23
REV006657,ORD006658,CUST01876,PROD0104,5,Excellent product!,2024-02-14,15
REV004754,ORD004755,CUST00741,PROD0089,5,Excellent product!,2023-12-09,69
REV003293,ORD003294,CUST01039,PROD0053,4,"Very good, happy with purchase.",2023-12-10,33
REV001566,ORD001567,CUST01206,PROD0024,5,Excellent product!,2023-08-11,114
REV001815,ORD001816,CUST00495,PROD0089,1,"Terrible, do not buy.",2024-03-29,10
REV004584,ORD004585,CUST00006,PROD0058,4,"Very good, happy with purchase.",2023-07-22,88
REV001756,ORD001757,CUST01320,PROD0110,3,"Average, could be better.",2022-06-01,56
REV005654,ORD005655,CUST01039,PROD0099,3,"Average, could be better.",2023-11-29,148
REV007115,ORD007116,CUST01792,PROD0043,4,"Very good, happy with purchase.",2023-12-11,133
